Name,Code,Row #,Country Code,Landmark Category,Location Label,Full Address,Map Centroid Longitude,Map Centroid Latitude,Map Accuracy Catagory,Map Coordinate System Category,Is Boundary Map On File?,Is Subdivision Parent Same as Enclosing Subdivision?,Subdivision Parent Code,Municipality ,Parent of Municipality,Parent Subdivision Category,Capacity,Capacity Metric Category,Year Opened,Ventilation Category,Landmark Notes ,Photo File ,Is Emergency Contact Recorded,
Bahía Sur,,,ESP,Stadium,,,,,,,,,,San Fernando,Andalusia,Autonomous Community,"10,000",Spectator Seats,1992,Open Air,,Estadio Bahía Sur - CD San Fernando.JPG,,
Balaídos,,,ESP,Stadium,,,,,,,,,,Vigo,Galicia,Autonomous Community,"31,800",Spectator Seats,1928,Open Air,,Grada Marcador.JPG,,
Benito Villamarín,,,ESP,Stadium,,,,,,,,,,Seville,Andalusia,Autonomous Community,"52,500",Spectator Seats,1929,Open Air,,Stade Manuel Ruiz de Lopera Séville.JPG,,
Butarque,,,ESP,Stadium,,,,,,,,,,Leganés,Madrid,Autonomous Community,"6,960",Spectator Seats,1998,Open Air,,Estadio Butarque 2009.png,,
Camp del Centenari,,,ESP,Stadium,,,,,,,,,,Badalona,Catalonia,Autonomous Community,"10,000",Spectator Seats,1972,Open Air,,,,
Camp d'Esports,,,ESP,Stadium,,,,,,,,,,Lleida,Catalonia,Autonomous Community,"13,500",Spectator Seats,1909,Open Air,,Camp d'Esports des d'un dels edificis de Fleming.JPG,,
Can Misses,,,ESP,Stadium,,,,,,,,,,Ibiza,Balearic Islands,Autonomous Community,"9,500",Spectator Seats,1957,Open Air,,,,
Carlos Belmonte,,,ESP,Stadium,,,,,,,,,,Albacete,Castile-La Mancha,Autonomous Community,"17,524",Spectator Seats,1960,Open Air,,Carlos Belmonte.jpg,,
Carlos Tartiere,,,ESP,Stadium,,,,,,,,,,Oviedo,Asturias,Autonomous Community,"30,500",Spectator Seats,2000,Open Air,,Estadio Carlos Tartiere 2008.JPG,,
Cartagonova,,,ESP,Stadium,,,,,,,,,,Cartagena,Murcia,Autonomous Community,"15,105",Spectator Seats,1987,Open Air,,Estadio Cartagonova.JPG,,
Castalia,,,ESP,Stadium,,,,,,,,,,Castellón de la Plana,Valencia,Autonomous Community,"14,485",Spectator Seats,1987,Open Air,,CS-NUM.JPG,,
Chapín,,,ESP,Stadium,,,,,,,,,,Jerez de la Frontera,Andalusia,Autonomous Community,"20,523",Spectator Seats,1988,Open Air,,Chapin-XerezCD-00454.jpg,,
Ciudad de Málaga,,,ESP,Stadium,,,,,,,,,,Málaga,Andalusia,Autonomous Community,"10,816",Spectator Seats,2006,Open Air,,ESTADIO ATLETISMO.jpg,,
Ciudad de Puertollano,,,ESP,Stadium,,,,,,,,,,Puertollano,Castile-La Mancha,Autonomous Community,"7,240",Spectator Seats,2010,Open Air,,,,
Ciudad Deportiva,,,ESP,Stadium,,,,,,,,,,Seville,Andalusia,Autonomous Community,"7,500",Spectator Seats,1968,Open Air,,,,
Ciutat de Valencia,,,ESP,Stadium,,,,,,,,,,Valencia,Valencia,Autonomous Community,"26,354",Spectator Seats,1969,Open Air,,Ciutat de valencia.jpg,,
Coliseum Alfonso Pérez,,,ESP,Stadium,,,,,,,,,,Getafe,Madrid,Autonomous Community,"17,393",Spectator Seats,1998,Open Air,,Coliseum-getafe.JPG,,
El Alcoraz,,,ESP,Stadium,,,,,,,,,,Huesca,Aragon,Autonomous Community,"5,734",Spectator Seats,1972,Open Air,,"Alcoraz, Uesca.jpg",,
El Deleite,,,ESP,Stadium,,,,,,,,,,Aranjuez,Madrid,Autonomous Community,"8,000",Spectator Seats,1995,Open Air,,,,
El Helmántico,,,ESP,Stadium,,,,,,,,,,Salamanca,Castile and León,Autonomous Community,"17,341",Spectator Seats,1970,Open Air,,Estadio Helmantico - Spain vs China 2005.jpg,,
El Madrigal,,,ESP,Stadium,,,,,,,,,,Villarreal,Valencia,Autonomous Community,"24,890",Spectator Seats,1923,Open Air,,El Madrigal Stadium 02.jpg,,
El Malecón,,,ESP,Stadium,,,,,,,,,,Torrelavega,Cantabria,Autonomous Community,"6,007",Spectator Seats,1922,Open Air,,,,
El Molinón,,,ESP,Stadium,,,,,,,,,,Gijón,Asturias,Autonomous Community,"29,029",Spectator Seats,1908,Open Air,,ElMolinonSportingvsAthletic30-10-11.jpg,,
